"Time","Subsystem #2|Branch Currents|IBkr_tfA","Subsystem #2|Branch Currents|IBkr_tfB","Subsystem #2|Branch Currents|IBkr_tfC"
0.0,7.212421064E-7,1.66544317E-8,-7.378965381E-7
6.0E-4,6.501344758E-7,1.473282766E-7,-7.974627524E-7
0.0012,5.150528332E-7,3.460355396E-7,-8.610883729E-7
0.0018,3.640349844E-7,5.02296131E-7,-8.663311154E-7
0.0024,2.025985399E-7,6.42820505E-7,-8.454190449E-7
0.003,7.772503098E-9,7.668907932E-7,-7.746632963E-7
0.0036,-1.898075535E-7,8.672802825E-7,-6.77472729E-7
0.0042,-3.347526144E-7,8.670072094E-7,-5.322545949E-7
0.0048,-4.896716573E-7,8.555689767E-7,-3.658973194E-7
0.0054,-5.940829624E-7,8.151914307E-7,-2.211084683E-7
0.006,-6.995242339E-7,7.603842242E-7,-6.085999032E-8
0.0066,-7.732928058E-7,6.976185253E-7,7.567428052E-8
0.0072,-8.542395447E-7,6.048931286E-7,2.493464161E-7
0.0078,-8.409798595E-7,4.378728408E-7,4.031070187E-7
0.0084,-8.421665158E-7,2.856583475E-7,5.565081683E-7
0.009,-7.691734159E-7,8.926876341E-8,6.799046525E-7
0.0096,-6.744821915E-7,-1.21541447E-7,7.960236385E-7
0.0102,-5.920884516E-7,-2.460995945E-7,8.381880461E-7
0.0108,-4.515238408E-7,-3.965933545E-7,8.481171953E-7
0.0114,-3.319363158E-7,-4.679606645E-7,7.998969804E-7
0.012,-2.114016391E-7,-5.315255764E-7,7.429272155E-7
0.0126,-3.661242425E-8,-6.144855661E-7,6.510979903E-7
0.0132,1.481636132E-7,-7.30908356E-7,5.827447428E-7
0.0138,2.816494223E-7,-7.654633498E-7,4.838139276E-7
0.0144,4.201508543E-7,-8.020061102E-7,3.818552559E-7
0.015,4.891002038E-7,-7.713499977E-7,2.822497939E-7
0.0156,5.504027189E-7,-6.93400287E-7,1.429975681E-7
0.0162,6.16289985E-7,-6.194806268E-7,3.190641867E-9
0.0168,6.997268569E-7,-5.210884192E-7,-1.786384377E-7
0.0174,7.144318159E-7,-3.941757824E-7,-3.202560335E-7
0.018,7.345572623E-7,-2.89896781E-7,-4.446604813E-7
0.0186,7.014394002E-7,-1.73564007E-7,-5.278753932E-7
0.0192,6.305978853E-7,-1.626198958E-8,-6.143358957E-7
0.0198,5.494628564E-7,9.002688457E-8,-6.39489741E-7
0.0204,4.296627437E-7,2.49282191E-7,-6.789449347E-7
0.021,3.061760743E-7,3.678862873E-7,-6.740623616E-7
0.0216,2.071226311E-7,4.900622184E-7,-6.971848495E-7
0.0222,7.660659575E-8,5.981964665E-7,-6.748030622E-7
0.0228,-8.194520683E-8,7.07634456E-7,-6.256892492E-7
0.0234,-2.120249898E-7,7.300435984E-7,-5.180186086E-7
0.024,-3.834058113E-7,7.32506851E-7,-3.491010397E-7
0.0246,-4.977737892E-7,6.941207481E-7,-1.96346959E-7
0.0252,-5.923382539E-7,6.408397153E-7,-4.850146139E-8
0.0258,-6.521266346E-7,5.820984606E-7,7.002817395E-8
0.0264,-7.204055894E-7,5.177387704E-7,2.02666819E-7
0.027,-6.863956757E-7,3.80851987E-7,3.055436887E-7
0.0276,-6.935313509E-7,2.653352812E-7,4.281960698E-7
0.0282,-6.432546583E-7,1.186706974E-7,5.245839609E-7
0.0288,-5.697476147E-7,-6.271255123E-8,6.324601659E-7
0.0294,-5.187774059E-7,-1.756659839E-7,6.944433899E-7
0.03,-4.091784836E-7,-3.269688254E-7,7.36147309E-7
0.0306,-2.93856439E-7,-3.994716729E-7,6.93328112E-7
0.0312,-1.812573933E-7,-4.561355048E-7,6.373928981E-7
0.0318,-2.554376787E-8,-5.107490243E-7,5.362927922E-7
0.0324,1.378078866E-7,-6.017639781E-7,4.639560915E-7
0.033,2.257526547E-7,-6.158514358E-7,3.900987811E-7
0.0336,3.374021598E-7,-6.46603445E-7,3.092012851E-7
0.0342,3.774961731E-7,-6.24557184E-7,2.470610109E-7
0.0348,4.230679972E-7,-5.760572718E-7,1.529892747E-7
0.0354,4.846428237E-7,-5.238215271E-7,3.917870338E-8
0.036,5.725324527E-7,-4.499397981E-7,-1.225926546E-7
0.0366,5.805740513E-7,-3.349209194E-7,-2.456531319E-7
0.0372,5.99231278E-7,-2.299525326E-7,-3.692787454E-7
0.0378,5.699668524E-7,-1.350760117E-7,-4.348908406E-7
0.0384,5.011448919E-7,-7.986367856E-9,-4.93158524E-7
0.039,4.406901995E-7,5.962439297E-8,-5.003145924E-7
0.0396,3.554304788E-7,1.794506784E-7,-5.348811572E-7
0.0402,2.568692394E-7,2.645669555E-7,-5.214361948E-7
0.0408,1.883411459E-7,3.718315487E-7,-5.601726945E-7
0.0414,8.399668991E-8,4.647821178E-7,-5.487788077E-7
0.042,-5.757852475E-8,5.714491431E-7,-5.138706184E-7
0.0426,-1.641483157E-7,5.991032065E-7,-4.349548908E-7
0.0432,-3.29072476E-7,6.111111152E-7,-2.820386392E-7
0.0438,-4.212416676E-7,5.727108232E-7,-1.514691557E-7
0.0444,-4.917757145E-7,5.236368339E-7,-3.186111937E-8
0.045,-5.291821694E-7,4.619551164E-7,6.722705298E-8
0.0456,-5.847730347E-7,4.112032341E-7,1.735698006E-7
0.0462,-5.358990321E-7,2.899192174E-7,2.459798148E-7
0.0468,-5.459587993E-7,1.890610865E-7,3.568977128E-7
0.0474,-5.098839616E-7,7.860082673E-8,4.312831349E-7
0.048,-4.445884946E-7,-7.403099511E-8,5.186194897E-7
0.0486,-4.082793161E-7,-1.602808375E-7,5.685601536E-7
0.0492,-3.250910126E-7,-2.858132338E-7,6.109042464E-7
0.0498,-2.201659106E-7,-3.356600418E-7,5.558259523E-7
0.0504,-1.252925803E-7,-3.928344521E-7,5.181270324E-7
0.051,3.874782783E-10,-4.329180272E-7,4.325305489E-7
0.0516,1.507266893E-7,-5.067864042E-7,3.560597149E-7
0.0522,2.162617862E-7,-5.05807521E-7,2.895457348E-7
0.0528,3.124386958E-7,-5.265899605E-7,2.141512648E-7
0.0534,3.236018855E-7,-4.852516768E-7,1.616497913E-7
0.054,3.435830556E-7,-4.435523801E-7,9.996932451E-8
0.0546,3.753162409E-7,-3.908595135E-7,1.554327258E-8
0.0552,4.511529112E-7,-3.378663464E-7,-1.132865648E-7
0.0558,4.538460028E-7,-2.468902476E-7,-2.069557551E-7
0.0564,4.738530932E-7,-1.548931268E-7,-3.189599664E-7
0.057,4.485259774E-7,-8.334997199E-8,-3.651760054E-7
0.0576,3.757007225E-7,2.522971987E-8,-4.009304424E-7
0.0582,3.158223501E-7,7.491543539E-8,-3.907377855E-7
0.0588,2.471145282E-7,1.625749476E-7,-4.096894758E-7
0.0594,1.55624471E-7,2.094690614E-7,-3.650935323E-7
0.06,1.107148343E-7,2.825806669E-7,-3.932955012E-7
0.0606,4.613603036E-8,3.391706861E-7,-3.853067164E-7
0.0612,-5.970691779E-8,4.261877717E-7,-3.664808539E-7
0.0618,-1.258990554E-7,4.490470043E-7,-3.231479488E-7
0.0624,-2.710805162E-7,4.710075586E-7,-1.999270423E-7
0.063,-3.419434707E-7,4.326584874E-7,-9.07150166E-8
0.0636,-3.96056579E-7,3.922298867E-7,3.826692306E-9
0.0642,-4.251240672E-7,3.362831491E-7,8.884091807E-8
0.0648,-4.724258398E-7,2.925112164E-7,1.799146234E-7
0.0654,-4.14314152E-7,1.933901292E-7,2.209240229E-7
0.066,-4.142668943E-7,9.752040467E-8,3.167464896E-7
0.0666,-3.774363182E-7,1.364135887E-8,3.637949593E-7
0.0672,-3.116959852E-7,-1.045443484E-7,4.162403336E-7
0.0678,-2.765854366E-7,-1.701089043E-7,4.466943408E-7
0.0684,-2.119487329E-7,-2.749176983E-7,4.868664312E-7
0.069,-1.084462658E-7,-3.060437087E-7,4.144899745E-7
0.0696,-2.789710001E-8,-3.510048878E-7,3.789019879E-7
0.0702,7.145420693E-8,-3.769365688E-7,3.054823618E-7
0.0708,2.050742792E-7,-4.336716798E-7,2.285974006E-7
0.0714,2.392415619E-7,-4.189379179E-7,1.796963559E-7
0.072,3.130017425E-7,-4.220954911E-7,1.090937486E-7
0.0726,2.937669622E-7,-3.532453378E-7,5.947837556E-8
0.0732,2.943942011E-7,-3.052489564E-7,1.085475538E-8
0.0738,2.947801607E-7,-2.437328723E-7,-5.104728843E-8
0.0744,3.503254458E-7,-2.059050097E-7,-1.444204362E-7
0.075,3.332467428E-7,-1.356971719E-7,-1.975495709E-7
0.0756,3.440301302E-7,-5.944559848E-8,-2.845845317E-7
0.0762,3.095246265E-7,-6.400972723E-9,-3.031236538E-7
0.0768,2.330212927E-7,8.003192732E-8,-3.1305322E-7
0.0774,1.772288566E-7,1.21949719E-7,-2.991785756E-7
0.078,1.303435963E-7,1.909761551E-7,-3.213197515E-7
0.0786,5.697186004E-8,2.062301799E-7,-2.6320204E-7
0.0792,2.392085088E-8,2.553647155E-7,-2.792855664E-7
0.0798,-1.764296653E-8,2.733914092E-7,-2.557484427E-7
0.0804,-1.0737307E-7,3.171506745E-7,-2.097776044E-7
0.081,-1.53618374E-7,3.229618428E-7,-1.693434688E-7
0.0816,-2.716977984E-7,3.465950046E-7,-7.489720617E-8
0.0822,-3.113180348E-7,2.97952284E-7,1.336575082E-8
0.0828,-3.452089894E-7,2.683311302E-7,7.687785918E-8
0.0834,-3.461507968E-7,2.140847637E-7,1.320660331E-7
0.084,-3.711423006E-7,1.596242072E-7,2.115180934E-7
0.0846,-3.113529062E-7,7.315703089E-8,2.381958753E-7
0.0852,-3.067287443E-7,-2.41782558E-8,3.309070001E-7
0.0858,-2.672180527E-7,-8.73392192E-8,3.545572719E-7
0.0864,-1.754815666E-7,-1.946858121E-7,3.701673787E-7
0.087,-1.157478159E-7,-2.43939852E-7,3.596876679E-7
0.0876,-7.16181035E-8,-3.01691983E-7,3.733100865E-7
0.0882,1.437201635E-8,-2.968158684E-7,2.824438521E-7
0.0888,6.512531215E-8,-3.201704186E-7,2.550451064E-7
0.0894,1.268552528E-7,-3.234064735E-7,1.965512207E-7
0.09,2.480686261E-7,-3.618165102E-7,1.137478841E-7
0.0906,2.830980909E-7,-3.512805469E-7,6.818245598E-8
